,username,comment,rating
76,o*****e,sepatu nya bagus cuma agak lebih gede aja bahan nya juga bagus semoga awet dipake nya,5
77,riopangestu55,"Mantep banget sih ini suka banget, Dengan harga segini kualitas bukan maen"" good Banget dah Aero street, Pengiriman Cepat, Sukses Selalu buat Aero street ",5
78,r*****6,"Sepatu bagus ringan enak dikaki, packing aman kotak tidak penyok. Tapi sayang yg dikirim barang reject (cacat).
Diiming-imingi voucher 20k dengan komen bintang 5 oh tidak bisa.
Dengan ada nya bintang 2 ini semoga kedepannya penjual tidak nakal lagi, tidak mengirim barang cacat.",2
79,devilas28,"Semoga awet , warna putih nya agak kuning sedikit tapi ya gpp udah sesuai harga aja sih , lumayan enak dikaki",5
80,pidanii,"AAA DEMI APAAZZZIIEE, INI BAGUS BGTTT, LEBIH DR EKSPETASI COOO, BAHANNYA BAGUS TEBEL, PIJAKANNYA JUGA EMPUK KARNA ADA BUSANYAA, WKWKW POKOKNYA SUKAA",5
81,mohhafisikhwan,"Kotak nya agak penyok,, tapi gak papa lah yg penting isinya sesuai harapan Terima kasih seller",5
82,b*****a,"Barang sudah sampai,,,sepatunya baguss,,cuman ada noda sedikit nih disepatunya😭,,untung disikat bisa hilang tu noda,,besok2 dicek dulu ya sebelum dikirim,,TAPI OVERALL BAGUS,,TETAPKAN KUALITASMU AEROSTREET🔥👍🤩",5
83,r*****1,"Tampilan:Bagus keren murmer

Agak berat dikit krn karet dan insole bagus, ukuran ok",5
84,q*****_,"Warna:kombinasi warna hitam putih bagus banget
Tampilan:bagus banget

Ukuran 42 pas dikaki aku yang emang ukurannya tapi kalau pakai kaos kaki tebal bakalan sempit.
Ini udah belasan kali beli disini dan bakalan lengganan sih",5
85,risfanjava,"Alhamdulillah, setelah sekian lama.. Akhirnya kebagian juga sepatunya🤲😅 sepatunya bagus banget sesuai gambar😍 gk nyesel deh ngoleksi sepatu aerostreet terus, gk kaget juga kalau sepatunya cepet habis, wong bagus banget😍 harganya juga murcee sekaleee.. Pokoknya top markotop..😍😍😍",5
86,deaaaspt,"Sudah sampai dengan aman dan cepat, pertama kali beli produk aero, sering ga kebagian karna stok kosong mohon lebih di tingkatkan lagi, kesan pertamanya ok banget, harga murah, sepatu kokoh. Thank",5
87,mar.xhel_,"bagus banget anjr , ga nyesel sumpah , barang terbaik yg pernah gw pesen , parah parah , pengemasannya cepet juga , makasih Aerostreet ama kurir .",5
88,amrahmann,"Saran Tampilan:Good Looking🥵
Kualitas:Good Quality
Styling:Fashionable🥰

Widiih Mantap min, Walaupun Packingannya Plastik dan Box AERO Aja (maklumDiskonLiveFlashSale), yg Penting Barang Selamat dan Tidak ada yg cacat, Qualitas Bagus Harga Merakyat.💪 All The Best Seller And Kurir nya💐",5
89,i*****h,Barang sesuai yang di pesan ngga ada lecet sama sekali dan ukurannya pas emang sepatu nya agak berat tapi ternyata pas di pake ngga kaku,5
90,nurhasanahbundatiwi,"Alhamdulillah paketannya sdh sampai dgn slmt dr Jogya, ank sy psti senang bgt paketannya sdh sampai brgnya bagus, hrg terjangkau real pict bgt smoga amanah reseller and shopee 👍👍😘😘",5
91,s*****7,"Tampilan:sesuai
Warna:sesuai

Tampilannya sesuai,warna nya sesuai,ukuran pas, dan barangnya Mash bagus, pengirimannya cepat dan sesuai waktu.. bagus dehh <3",5
92,dede.sopia,"Tampilan:oke keren bagus
Warna:hitam

Sepatunya bagus keren..rapih juga
Mantep pokonya
Pengiriman lumayan cepet
Ukuran sengaja aku lebihin dikit size nya,takut jaga jaga sempit,soalnya kaki anakku panjang banget😄
Dan ini aga longgar..gapapa sengaja
Sepatu ini buat anakku.
Terimakasih",5
93,rahadianm.mahmud,"Tampilan:sesuai iklan toko
Warna:hitam

Size 40
mantap produk dlm negri sukses sllu. Amin Yaa Rabb",5
94,aru39,"Alhamdulillah paket mendarat dgn selamat. Overall sepatunya bagus. Tapi klo dilihat lebih detail, terdapat beberapa bagian yg kurang rapi, seperti tag #LokalTakGentar dan warna hitam yg tdk merata di bagian belakang sepatu kiri & kanan. Semoga Aerostreet bisa lebih teliti lagi. Terima kasih🙏🏻👍🏻",5
95,haykalalghafary219,"Klau beli sepatu dri aerostreet saran sy naikin ukuran nya 1 nmr dari ukran biasanya krna ini produk lokal mgkn ya agk berbeda dri ukuran luar, prnah coba pas2 malah krg nymn,minsal sy biasa ukuran nomor sepatu 43 pilih varian yg nmr 44👍

Klau soal kualitas jgn diragukan aerostreet,mntp pokoknya👍",5
96,t*****r,"Terima kasih barang sudah sampai, pengiriman yg ini agak lama dibanding yg satunya padahal co dimenit yg sama untuk alamat dan ekspedisi yg sm. Untuk pengemasannya kurang aman karna bener"" cm pake plastik bening aja jd kardusnya ada peyot. Trus sepatunya jg enak sih solnya tebel. Tp overall untuk localbrand dengan harga 130 ini oke siih. Semoga aja awet",5
97,ezsed0f7o3qi7j42b2gsaabv1wv0,"Tampilan:real picture, rekomended banget👍👍kualitas bagus
Warna:Hitam putih

bahan tebal, elastis, nyaman dipakai",5
98,falupielupi20,"Kereeeeen sepatunya bagus banget sukaaaa🥰🥰 ukurannya pas dikaki aku, nyaman dipakenya, semoga awet. Kurirnya ramah, pengiriman lumayan cepat. The best lah pokoknya👍👍",5
99,a*****y,"Tampilan:sesuai
Warna:hitam putih

Barang sampai tujuan meski bungkus nya koyak"" barangnya sesuai pesanan, mantap 😍 saya suka....",4
100,anythrift_shopsolo,"Warna:bagus,sesuai
Tampilan:bagus,jahitan rapi,,lokal debesss

Rekomend bgt,buat hrga jg terjangkau tp kwalitas oke bgt,,lokal debess klo ini,,",5
101,karloskaban12,"Styling:casual
Pas untuk Acara:casual
Kenyamanan:ukuran pas

keren, jahitan rapi, cakep lah pokoknya",4
102,rayyakecil,"pembelian pertama, sesuai dengan pesanan. worth it dengan harga segini. cakep, lumayan nyaman dipakai. kalo dilihat sepertinya bakal awet. 
next.. semoga dapat yg edisi swallow.
terima kasih aerostreet.",5
103,ojeg666,"Pas untuk Acara:kasual
Kualitas:keren kualitas aerostreet

keren nih kualitas aerostreet lokal ga kaleng-kaleng. happy bgt ini dpt pas 8.8 dari 140k jadi 39k auto checkout hahahah. sol nya empuk, biasa beli ukuran 42 dan pas banget di kaki ngga sempit. mantap, thx aerostreet.",5
104,ahavj,"Barangnya bagussss, baru pertama kali sih belanja di aerostreet, pertama beli agak ragu sama barang nya, tapi pas udh kebeli skrg yakin banget kalau aerostreet memang bagus👍👍

Barang bagus, pengiriman cepat, dan respon penjual baik👍",5
105,ariekeling,#localpride sesuai ama slogan tak gentar kualitas sepatu oke cakep produk lokal untuk ukaran pas nyaman dari lem karet nya kuat cakep aman insyallah amin puas banget intinya maju truss toko nya berkah selalu amin🙏,5
106,d*****d,"Tampilan:Keren, produk lokal the best
Warna:Hitam Pekat dan bersih

Aero Street emang ga ada lawann, harga terjangkau tapi kualitas macam kualitas jerman",5
107,adrepi17,"Overall bagus walau ada sedikit penyok di bagian samping sepatu, ada noda kotor dan ""gembung"" kecil di bagian midsole, yaa gppla.

( - ) pengiriman lumayan lama, 4 hari broh untuk nyampe ke rumah (Balikpapan)",4
108,i*****7,"Tampilan:bagus , sangat baik
Warna:bagus

Produk kualitas baik dn tidak mengecewakan , rekomded buat anak skolh atau kuliah 

Atas perhatiannya kami ucapkan terimakasih, Wassalamu’alaikum",4
109,muhammadlutfi1907,"Mantap barang diterima dengan baik. 
Pengiriman cepat, barang murah tapi kualitas sultan. 
Insol tebal,  kualitas mantap. 
Rekomend banget lah. Dengan harga segitu dapet barang yang mantap. 

Mungkin bisa ditingkat kan lagi model"" terbarunya. Dan ditambah free kaos kaki😁",5
110,a*****9,"Terimakasih barangnya sdh sampe dan bagus bgt, cocok buat anak sekolah, belinya paslive jdi dpt harga murah meriah.thanks seler",5
111,listyrini202,"Tampilan:bagus bgt
Warna:black white

Puas bgt sepatunya bgs real picture bahannya tebal rapi pembuatannya ky di press gtu jd kelihatan kuat sepatunya",4
112,hyoubiee,"Tampilan:keren banget
Warna:Hitam

Pengiriman cepet, pengemasan bagus, produk oke 👍👍👍",5
113,dhannf26,"Udah dari lama kepengen beli sepatu aerostreet, kehabisan stock mulu. Kebetulan event 12.12 kemarin ready stock & langsung beli. Cepet sampe juga, dari segi bungkusnya udah sangat bagus dan untuk kualitas sepatu jangan ditanya, brand lokal emang mantap",5
114,n*****9,"Tampilan:Tidak Mengecewakan
Warna:Hitam Putih Bagus

Bangga pada Brand Lokal, kualitas tidak diragukan, pihak Penjual dan Pengiriman sangatlah Baik",4
115,hasdiq,"Sepatu ya sudah sampay bahanya bagus, tapi sepatunya agak gemuk",5
116,i*****5,"Tampilan:mirip vans
Warna:bnw

Beli yang ukuran 37, panjangnya pas tpi dibagian pergelangan kakinya agak besar. Soalnya punya pergelangan kaki yg kecil kali ya. Overall sepatunya bagusss tjuyyy kece banget bisa dipake cewe cowo oke",5
117,g*****e,"Tampilan:bagus
Warna:bagus

Cuma finishing jaitannya msh kurang rapih,tp over all baguss",5
